"","hotel","rating","page","star","ctry"
"157","72QT","80",3,1,2
"158","Rotana","75",3,1,2
"159","Equity Point London","75",3,1,2
"160","Rivington","70",3,1,2
"161","The Clerk & Well ","88",3,1,2
"162","Oxford House","79",3,1,2
"163","Aga Metro London","59",3,1,2
"164","Saint James Backpackers","75",3,1,2
"165","Europa House","67",3,1,2
"166","Portobello House ex. The Earl Percy","79",3,1,2
"167","Artist Residence","88",3,1,2
"168","The Court","70",3,1,2
"169","Albion House","66",3,1,2
"170","Malt House","85",3,1,2
"171","wombat's City Hostel London","87",4,1,2
"172","Atelier EC1 by BridgeStreet","87",4,1,2
"173","Notting Hill","60",4,1,2
"174","The Central","54",4,1,2
"175","Assaha Hyde Park Apartments","62",4,1,2
"176","Fine Touch Apartments","75",4,1,2
"177","Fairways Bayswater","68",4,1,2
"178","O'Gradys Guesthouse Ilford","87",4,1,2
"179","Thames View Serviced Apartment","78",4,1,2
"180","Sapphire","66",4,1,2
"181","Hyde Park","67",4,1,2
"182","City View  - Roman Road Market","55",4,1,2
"183","Metro","73",4,1,2
"184","Hyde Park Economy","62",4,1,2
"185","Arlington House Apartments","82",4,1,2
"186","Beaufort House","91",4,1,2
"187","Abercorn House","72",4,1,2
"188","Fox And Grapes","85",4,1,2
"189","Blueprint Living Apartments No 5. Doughty Street","82",4,1,2
"190","Colvin House","77",4,1,2
"191","Travel Inn","59",4,1,2
"192","The London Carlton","75",4,1,2
"193","The Shoreditch Inn","81",4,1,2
"194","Vegas","60",4,1,2
"195","Travelodge Woolwich","78",4,1,2
"196","Londons Home Limited - Central Hoxton Shoreditch","66",5,1,2
"197","YHA London St Pancras","82",5,1,2
"198","Crystal Lodge","59",5,1,2
"199","Haven","62",5,1,2
"200","Central","70",5,1,2
"201","YHA London Earl's Court","74",5,1,2
"202","Queen Elizabeth Chelsea","79",5,1,2
"203","Park View House","75",5,1,2
"204","Yha St Pauls","77",5,1,2
"205","Comfort Inn & Suites King's Cross St Pancras","73",5,1,2
"206","Bond Street Station","70",5,1,2
"207","Crescent","80",5,1,2
"208","Marlin Apartments Empire Square, London Bridge","78",5,1,2
"209","Lawrence Road Guest House","79",5,1,2
"210","London Guest House","80",5,1,2
"211","The Kensington Studios","79",5,1,2
"212","Judd","72",5,1,2
"213","Curzon House","68",5,1,2
"214","Dylan House","58",5,1,2
"215","Pax Lodge","82",5,1,2
"216","Belgravia","69",5,1,2
"217","Library","81",5,1,2
"218","Montana","76",5,1,2
